"External ID","Module Name","Technical Name"
"base.module_pos_sale_pricelist","POS Price List","pos_sale_pricelist"
"base.module_dusal_pos_bonus","Point of Sale Bonus, Gift, Loyalty addon","dusal_pos_bonus"
"base.module_pos_available_products","Available quantity of products in POS","pos_available_products"
"base.module_pos_order_return","Pos Order Return","pos_order_return"
"base.module_pos_orders","Pos All Orders List","pos_orders"
"base.module_access_apps","Control access to Apps","access_apps"
"base.module_access_restricted","Restricted administration rights","access_restricted"
"base.module_access_settings_menu","Show settings menu for non-admin","access_settings_menu"
"base.module_account_analytic_default_tardys","Account Analytic Default Extension","account_analytic_default_tardys"
"base.module_account_parent","Parent Account","account_parent"
"base.module_account_partner_ledger_filter","Partner Ledger with Partner Filter","account_partner_ledger_filter"
"base.module_backend_theme","Community Mobile Backend Theme","backend_theme"
"base.module_base_groupby_extra","Extra grouping options","base_groupby_extra"
"base.module_deltatech_purchase_price","Deltatech Purchase Price","deltatech_purchase_price"
"base.module_ir_rule_protected","Protect ir.rule records","ir_rule_protected"
"base.module_l10n_id","Indonesian - Accounting","l10n_id"
"base.module_label","Mass Label Reporting","label"
"base.module_magic_note","Magic Color Note","magic_note"
"base.module_mail_base","Mail Base","mail_base"
"base.module_merge_products_pos","Merge Products in POS","merge_products_pos"
"base.module_odoo_web_login","Odoo Web Login Screen","odoo_web_login"
"base.module_payment_bank_statement","Bank Statement On Payments","payment_bank_statement"
"base.module_payment_cash_register","Cash Register On Payment","payment_cash_register"
"base.module_payment_invoice_report","Payment Information In Invoice Report","payment_invoice_report"
"base.module_payment_receipt_invoice","Account Payment Receipt","payment_receipt_invoice"
"base.module_point_of_sale_anglo_saxon","Point Of Sale COGS (Anglo-Saxon)","point_of_sale_anglo_saxon"
"base.module_point_of_sale_logo","Point of Sale Logo","point_of_sale_logo"
"base.module_pos_analytic","POS Analytic","pos_analytic"
"base.module_pos_chatter","POS Chat Box","pos_chatter"
"base.module_pos_custom","POS Custom","pos_custom"
"base.module_pos_customer_screen","POS Customer screen","pos_customer_screen"
"base.module_pos_debt_notebook","POS Debt & Credit notebook","pos_debt_notebook"
"base.module_pos_debt_notebook_sync","Internal Credit System","pos_debt_notebook_sync"
"base.module_pos_keyboard","Keyboard support in Point Of Sale","pos_keyboard"
"base.module_pos_longpolling","POS Longpolling","pos_longpolling"
"base.module_pos_operation_restrict","POS: User to set discount and price","pos_operation_restrict"
"base.module_pos_pin","Confirm POS action by PIN","pos_pin"
"base.module_pos_product_available","Available quantity of products in POS","pos_product_available"
"base.module_pos_product_available_negative","Restrict out-of-stock POS Orders","pos_product_available_negative"
"base.module_pos_product_lot","Product lot in POS","pos_product_lot"
"base.module_product_ageing_report","Stock Ageing Analysis","product_ageing_report"
"base.module_product_category_taxes","Product Category Taxes","product_category_taxes"
"base.module_product_lot","Product lot","product_lot"
"base.module_product_tags","Product Tags","product_tags"
"base.module_report_template","report_template","report_template"
"base.module_sale_amount_check","Excess Amount Warning","sale_amount_check"
"base.module_sale_invoice_tag_pass","Sales Tags To Invoice Tags","sale_invoice_tag_pass"
"base.module_sale_restrict","SO - Product Price Check","sale_restrict"
"base.module_sale_shipping_constrains","Shipping Validation In Sales","sale_shipping_constrains"
"base.module_stock_account_analytic_fix","stock_account_analytic_fix","stock_account_analytic_fix"
"base.module_total_payable_receivable","Payable And Receivable Amount","total_payable_receivable"
"base.module_user_creation_from_employee","User From Employee","user_creation_from_employee"
"base.module_web_debranding","Backend debranding","web_debranding"
